Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2017,,,,,,,,,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional , Dirigindo moto , Passageiro de moto , Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
,,,,,,,,,,,,,,,
  275 ,  20.972 ,  -   ,  15.438 ,  159 ,  3.307 ,  21.043 ,  11.078 ,  -   ,  857 ,  2.160 ,  -   ,  -   ,  37.123 ,  274 ,  112.412 
  276 ,  15.715 ,  -   ,  31.194 ,  -   ,  6.684 ,  34.156 ,  23.944 ,  -   ,  195 ,  4.654 ,  389 ,  -   ,  43.410 ,  -   ,  160.341 
  277 ,  4.669 ,  496 ,  24.673 ,  -   ,  4.954 ,  27.870 ,  14.730 ,  -   ,  -   ,  1.790 ,  673 ,  67 ,  44.454 ,  -   ,  124.376 
  278 ,  10.959 ,  -   ,  48.475 ,  -   ,  12.629 ,  23.239 ,  13.504 ,  -   ,  1.427 ,  6.855 ,  1.111 ,  1.023 ,  90.601 ,  -   ,  209.824 
  279 ,  4.924 ,  1.691 ,  26.397 ,  -   ,  10.680 ,  7.004 ,  2.034 ,  -   ,  121 ,  2.422 ,  363 ,  -   ,  45.270 ,  862 ,  101.768 
  280 ,  5.865 ,  5.545 ,  26.095 ,  1.626 ,  976 ,  18.146 ,  4.243 ,  -   ,  143 ,  2.310 ,  122 ,  339 ,  13.418 ,  -   ,  78.829 
  281 ,  2.228 ,  2.439 ,  20.758 ,  520 ,  6.292 ,  22.578 ,  11.301 ,  723 ,  1.341 ,  1.411 ,  1.110 ,  -   ,  14.532 ,  -   ,  85.232 
  282 ,  3.540 ,  61 ,  21.249 ,  -   ,  2.002 ,  20.614 ,  6.579 ,  279 ,  1.372 ,  5.005 ,  1.232 ,  -   ,  23.930 ,  862 ,  86.725 
  283 ,  960 ,  929 ,  5.835 ,  -   ,  322 ,  3.877 ,  948 ,  59 ,  119 ,  303 ,  -   ,  132 ,  5.530 ,  189 ,  19.204 
  284 ,  2.177 ,  2.918 ,  22.663 ,  667 ,  8.867 ,  14.106 ,  3.708 ,  -   ,  348 ,  707 ,  -   ,  -   ,  26.147 ,  -   ,  82.308 
  285 ,  5.627 ,  3.197 ,  28.610 ,  930 ,  11.095 ,  22.977 ,  15.558 ,  -   ,  1.282 ,  6.125 ,  -   ,  -   ,  74.640 ,  -   ,  170.041 
  286 ,  2.626 ,  1.965 ,  19.611 ,  139 ,  1.153 ,  10.497 ,  4.281 ,  -   ,  555 ,  4.461 ,  -   ,  379 ,  4.842 ,  -   ,  50.509 
  287 ,  1.377 ,  1.115 ,  13.690 ,  1.080 ,  3.090 ,  19.397 ,  8.040 ,  238 ,  598 ,  1.343 ,  -   ,  2.683 ,  16.968 ,  -   ,  69.619 
  288 ,  1.026 ,  1.016 ,  20.120 ,  -   ,  4.372 ,  6.440 ,  2.338 ,  -   ,  77 ,  1.894 ,  -   ,  245 ,  12.508 ,  -   ,  50.035 
  289 ,  2.544 ,  6.905 ,  22.892 ,  540 ,  7.951 ,  14.745 ,  5.906 ,  -   ,  1.991 ,  824 ,  -   ,  796 ,  29.951 ,  639 ,  95.685 
  290 ,  4.618 ,  7.299 ,  16.836 ,  -   ,  5.891 ,  8.113 ,  2.735 ,  -   ,  -   ,  1.232 ,  -   ,  -   ,  40.837 ,  2.516 ,  90.077 
  291 ,  4.817 ,  11.377 ,  24.517 ,  785 ,  11.747 ,  25.887 ,  16.830 ,  -   ,  -   ,  1.555 ,  330 ,  -   ,  34.800 ,  -   ,  132.646 
  292 ,  4.537 ,  3.660 ,  15.255 ,  -   ,  8.179 ,  16.951 ,  8.852 ,  -   ,  2.848 ,  3.771 ,  -   ,  -   ,  34.201 ,  -   ,  98.255 
  293 ,  8.040 ,  10.029 ,  33.485 ,  -   ,  14.922 ,  8.596 ,  10.138 ,  295 ,  2.498 ,  3.467 ,  -   ,  1.710 ,  49.696 ,  2.516 ,  145.393 
  294 ,  6.903 ,  15.271 ,  35.253 ,  930 ,  13.622 ,  7.816 ,  1.346 ,  -   ,  -   ,  1.939 ,  802 ,  -   ,  84.813 ,  1.386 ,  170.081 
  295 ,  5.283 ,  10.898 ,  45.543 ,  -   ,  13.320 ,  17.229 ,  12.900 ,  -   ,  -   ,  5.058 ,  823 ,  1.778 ,  56.546 ,  -   ,  169.379 
  296 ,  219 ,  37 ,  1.503 ,  -   ,  2.355 ,  1.872 ,  893 ,  -   ,  -   ,  142 ,  -   ,  742 ,  1.209 ,  -   ,  8.973 
  297 ,  25 ,  109 ,  1.182 ,  308 ,  316 ,  1.290 ,  436 ,  -   ,  -   ,  -   ,  -   ,  130 ,  536 ,  -   ,  4.333 
  298 ,  3.932 ,  14.332 ,  49.508 ,  565 ,  26.289 ,  16.496 ,  13.897 ,  -   ,  939 ,  2.197 ,  301 ,  2.073 ,  89.038 ,  623 ,  220.190 
  299 ,  386 ,  326 ,  3.548 ,  -   ,  884 ,  1.583 ,  398 ,  146 ,  132 ,  193 ,  104 ,  -   ,  2.431 ,  -   ,  10.131 
  300 ,  25.251 ,  24.281 ,  53.876 ,  842 ,  3.750 ,  68.360 ,  22.181 ,  1.762 ,  2.057 ,  5.821 ,  708 ,  1.488 ,  59.517 ,  533 ,  270.427 
  301 ,  3.857 ,  364 ,  15.094 ,  -   ,  1.880 ,  14.364 ,  7.098 ,  79 ,  1.979 ,  695 ,  -   ,  79 ,  4.431 ,  -   ,  49.919 
  302 ,  15.751 ,  1.435 ,  46.773 ,  749 ,  2.185 ,  22.435 ,  9.790 ,  515 ,  338 ,  1.423 ,  87 ,  362 ,  18.289 ,  -   ,  120.132 
  303 ,  16.616 ,  7.720 ,  59.101 ,  821 ,  2.463 ,  18.583 ,  5.124 ,  189 ,  402 ,  5.896 ,  550 ,  265 ,  13.511 ,  644 ,  131.886 
  304 ,  11.901 ,  459 ,  42.330 ,  -   ,  8.039 ,  23.426 ,  5.540 ,  -   ,  1.202 ,  4.664 ,  1.028 ,  848 ,  64.607 ,  523 ,  164.567 
  305 ,  5.327 ,  2.473 ,  69.375 ,  -   ,  7.493 ,  20.712 ,  4.769 ,  -   ,  2.091 ,  4.045 ,  990 ,  -   ,  89.002 ,  -   ,  206.277 
  306 ,  3.531 ,  704 ,  30.149 ,  -   ,  8.016 ,  6.058 ,  1.511 ,  -   ,  1.229 ,  2.883 ,  -   ,  -   ,  46.699 ,  -   ,  100.781 
  307 ,  6.878 ,  708 ,  48.967 ,  -   ,  15.748 ,  13.476 ,  5.209 ,  -   ,  277 ,  4.268 ,  -   ,  -   ,  50.118 ,  287 ,  145.935 
  308 ,  921 ,  249 ,  17.629 ,  -   ,  6.568 ,  4.092 ,  819 ,  -   ,  425 ,  217 ,  -   ,  -   ,  30.496 ,  -   ,  61.416 
  309 ,  3.883 ,  387 ,  29.586 ,  -   ,  8.271 ,  6.494 ,  3.029 ,  -   ,  855 ,  1.396 ,  -   ,  829 ,  23.708 ,  87 ,  78.526 
  310 ,  518 ,  -   ,  9.502 ,  -   ,  2.329 ,  3.077 ,  2.212 ,  -   ,  190 ,  786 ,  -   ,  -   ,  10.081 ,  449 ,  29.144 
  311 ,  4.094 ,  6.675 ,  42.508 ,  -   ,  11.380 ,  14.300 ,  8.896 ,  -   ,  293 ,  7.255 ,  1.258 ,  -   ,  55.855 ,  248 ,  152.762 
  312 ,  7.092 ,  581 ,  20.619 ,  155 ,  7.115 ,  14.322 ,  11.392 ,  -   ,  1.191 ,  3.898 ,  494 ,  -   ,  26.473 ,  -   ,  93.332 
  313 ,  1.291 ,  516 ,  11.313 ,  99 ,  3.581 ,  6.156 ,  2.883 ,  -   ,  -   ,  1.442 ,  -   ,  -   ,  17.575 ,  689 ,  45.544 
  314 ,  13.547 ,  -   ,  54.196 ,  -   ,  20.270 ,  16.750 ,  6.936 ,  -   ,  1.157 ,  3.741 ,  -   ,  -   ,  69.462 ,  230 ,  186.290 
  315 ,  12.799 ,  -   ,  44.995 ,  528 ,  10.899 ,  14.123 ,  4.446 ,  -   ,  620 ,  6.667 ,  330 ,  1.532 ,  77.888 ,  -   ,  174.827 
  316 ,  4.728 ,  1.568 ,  7.221 ,  72 ,  3.037 ,  15.013 ,  6.959 ,  388 ,  1.251 ,  2.172 ,  -   ,  1.111 ,  4.208 ,  -   ,  47.729 
  317 ,  1.445 ,  1.569 ,  3.303 ,  -   ,  123 ,  6.769 ,  1.570 ,  35 ,  498 ,  1.256 ,  -   ,  40 ,  762 ,  -   ,  17.372 
  318 ,  2.635 ,  2.827 ,  12.434 ,  -   ,  1.418 ,  11.478 ,  2.361 ,  24 ,  361 ,  2.704 ,  125 ,  -   ,  11.252 ,  527 ,  48.146 
  319 ,  1.669 ,  -   ,  11.115 ,  2.877 ,  2.327 ,  12.133 ,  2.968 ,  182 ,  292 ,  990 ,  -   ,  158 ,  5.349 ,  -   ,  40.061 
  320 ,  2.831 ,  -   ,  29.315 ,  -   ,  3.714 ,  9.717 ,  3.403 ,  238 ,  630 ,  1.295 ,  276 ,  181 ,  48.073 ,  274 ,  99.948 
  321 ,  5.792 ,  134 ,  17.261 ,  -   ,  4.236 ,  32.806 ,  9.650 ,  698 ,  1.308 ,  2.165 ,  210 ,  643 ,  24.924 ,  -   ,  99.828 
  322 ,  3.405 ,  472 ,  14.955 ,  -   ,  8.011 ,  26.089 ,  6.828 ,  424 ,  1.857 ,  1.777 ,  -   ,  269 ,  18.194 ,  -   ,  82.279 
  323 ,  10.729 ,  825 ,  17.916 ,  -   ,  12.896 ,  12.799 ,  9.158 ,  -   ,  -   ,  1.573 ,  -   ,  -   ,  29.694 ,  539 ,  96.128 
  324 ,  1.980 ,  -   ,  36.805 ,  462 ,  12.502 ,  10.029 ,  3.308 ,  -   ,  527 ,  3.679 ,  -   ,  -   ,  28.706 ,  -   ,  97.998 
  325 ,  2.556 ,  -   ,  17.702 ,  -   ,  4.107 ,  14.780 ,  15.445 ,  364 ,  -   ,  1.333 ,  694 ,  488 ,  31.100 ,  -   ,  88.567 
  326 ,  7.093 ,  45 ,  19.269 ,  -   ,  3.155 ,  12.046 ,  7.018 ,  -   ,  -   ,  1.751 ,  -   ,  416 ,  12.862 ,  422 ,  64.076 
  327 ,  828 ,  48 ,  5.475 ,  -   ,  1.706 ,  10.102 ,  4.413 ,  114 ,  223 ,  782 ,  -   ,  -   ,  8.068 ,  -   ,  31.760 
  328 ,  2.955 ,  864 ,  8.344 ,  1.007 ,  4.105 ,  16.442 ,  8.499 ,  658 ,  219 ,  1.141 ,  -   ,  -   ,  8.737 ,  197 ,  53.169 
  329 ,  4.264 ,  2.553 ,  15.711 ,  -   ,  2.941 ,  27.038 ,  14.129 ,  173 ,  1.206 ,  3.269 ,  891 ,  991 ,  16.932 ,  -   ,  90.098 
  330 ,  3.358 ,  523 ,  12.283 ,  -   ,  4.311 ,  21.247 ,  7.199 ,  317 ,  527 ,  1.123 ,  -   ,  -   ,  12.945 ,  -   ,  63.833 
  331 ,  3.347 ,  132 ,  15.171 ,  96 ,  8.926 ,  14.233 ,  7.689 ,  -   ,  317 ,  2.195 ,  -   ,  617 ,  17.401 ,  -   ,  70.125 
  332 ,  3.014 ,  1.049 ,  13.418 ,  -   ,  5.416 ,  10.789 ,  7.183 ,  -   ,  -   ,  3.431 ,  1.109 ,  617 ,  35.780 ,  -   ,  81.806 
  333 ,  1.965 ,  2.185 ,  8.838 ,  920 ,  1.444 ,  7.149 ,  1.612 ,  -   ,  -   ,  1.722 ,  -   ,  -   ,  8.661 ,  -   ,  34.495 
  334 ,  1.717 ,  86 ,  12.375 ,  -   ,  7.611 ,  19.320 ,  6.536 ,  312 ,  341 ,  2.254 ,  -   ,  24 ,  17.801 ,  -   ,  68.377 
  335 ,  2.128 ,  568 ,  13.730 ,  -   ,  4.859 ,  14.498 ,  7.633 ,  -   ,  418 ,  960 ,  -   ,  507 ,  23.665 ,  -   ,  68.967 
  336 ,  1.915 ,  -   ,  19.332 ,  -   ,  8.984 ,  10.757 ,  2.482 ,  -   ,  -   ,  1.219 ,  -   ,  191 ,  14.693 ,  951 ,  60.524 
  337 ,  2.024 ,  3.127 ,  10.719 ,  -   ,  5.682 ,  11.573 ,  8.242 ,  -   ,  427 ,  714 ,  -   ,  191 ,  9.756 ,  401 ,  52.854 
  338 ,  5.357 ,  3.218 ,  15.181 ,  -   ,  1.421 ,  12.819 ,  5.383 ,  372 ,  132 ,  2.494 ,  -   ,  3.103 ,  21.457 ,  179 ,  71.115 
  339 ,  19.504 ,  3.726 ,  21.881 ,  351 ,  521 ,  27.193 ,  4.303 ,  237 ,  1.094 ,  1.588 ,  -   ,  2.169 ,  7.078 ,  -   ,  89.645 
  340 ,  6.726 ,  -   ,  9.401 ,  315 ,  394 ,  14.195 ,  2.442 ,  453 ,  602 ,  613 ,  -   ,  656 ,  3.377 ,  337 ,  39.510 
  341 ,  1.991 ,  169 ,  4.988 ,  -   ,  2.088 ,  7.203 ,  2.566 ,  77 ,  237 ,  2.819 ,  -   ,  251 ,  7.271 ,  -   ,  29.662 
  342 ,  6.269 ,  2.047 ,  9.658 ,  -   ,  2.648 ,  22.436 ,  7.618 ,  820 ,  672 ,  758 ,  -   ,  684 ,  16.102 ,  -   ,  69.710 
  343 ,  108 ,  -   ,  352 ,  -   ,  703 ,  1.239 ,  473 ,  -   ,  69 ,  103 ,  -   ,  -   ,  661 ,  69 ,  3.779 
  344 ,  7.088 ,  5.726 ,  16.968 ,  1.487 ,  6.193 ,  26.048 ,  11.688 ,  -   ,  520 ,  1.200 ,  -   ,  -   ,  32.461 ,  69 ,  109.450 
  345 ,  608 ,  1.188 ,  4.359 ,  -   ,  6.088 ,  5.835 ,  1.775 ,  -   ,  -   ,  608 ,  341 ,  1.065 ,  16.805 ,  -   ,  38.674 
  346 ,  -   ,  -   ,  -   ,  -   ,  -   ,  125 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  125 
  347 ,  108 ,  1.696 ,  20.771 ,  982 ,  15.525 ,  14.333 ,  11.252 ,  -   ,  37 ,  2.320 ,  -   ,  2.811 ,  48.270 ,  45 ,  118.149 
  348 ,  -   ,  -   ,  2.162 ,  350 ,  1.117 ,  1.536 ,  836 ,  -   ,  -   ,  159 ,  -   ,  48 ,  2.807 ,  45 ,  9.060 
  349 ,  -   ,  -   ,  -   ,  -   ,  -   ,  292 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  292 
  350 ,  108 ,  4.197 ,  5.662 ,  604 ,  15.284 ,  7.805 ,  3.391 ,  -   ,  -   ,  1.471 ,  -   ,  -   ,  25.443 ,  -   ,  63.965 
  351 ,  3.804 ,  13.603 ,  18.331 ,  -   ,  10.443 ,  15.521 ,  9.166 ,  150 ,  -   ,  1.365 ,  -   ,  -   ,  44.076 ,  -   ,  116.458 
  352 ,  -   ,  -   ,  1.882 ,  -   ,  -   ,  3.037 ,  1.488 ,  -   ,  674 ,  -   ,  -   ,  -   ,  425 ,  -   ,  7.507 
  353 ,  -   ,  -   ,  379 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  379 
  354 ,  -   ,  -   ,  -   ,  -   ,  -   ,  493 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  493 
  355 ,  3.363 ,  7.216 ,  10.418 ,  274 ,  3.776 ,  13.901 ,  5.117 ,  -   ,  -   ,  709 ,  -   ,  1.028 ,  41.599 ,  -   ,  87.401 
  356 ,  7.433 ,  14.042 ,  16.465 ,  294 ,  7.005 ,  8.687 ,  3.102 ,  171 ,  -   ,  2.737 ,  -   ,  -   ,  71.175 ,  -   ,  131.110 
  357 ,  252 ,  521 ,  341 ,  68 ,  157 ,  405 ,  146 ,  -   ,  -   ,  76 ,  -   ,  -   ,  2.813 ,  -   ,  4.779 
  358 ,  2.313 ,  -   ,  5.586 ,  223 ,  5.091 ,  12.783 ,  7.265 ,  199 ,  -   ,  446 ,  -   ,  1.661 ,  18.818 ,  304 ,  54.688 
  359 ,  241 ,  116 ,  1.868 ,  -   ,  3.616 ,  4.268 ,  1.831 ,  -   ,  -   ,  2.229 ,  940 ,  -   ,  7.909 ,  1.379 ,  24.396 
  360 ,  2.204 ,  17 ,  3.597 ,  -   ,  3.510 ,  4.032 ,  1.824 ,  -   ,  -   ,  446 ,  -   ,  2.342 ,  9.384 ,  -   ,  27.358 
  361 ,  445 ,  -   ,  2.177 ,  -   ,  3.279 ,  3.098 ,  1.179 ,  -   ,  -   ,  -   ,  -   ,  127 ,  6.260 ,  -   ,  16.565 
  362 ,  2.360 ,  -   ,  46.954 ,  393 ,  3.958 ,  27.021 ,  13.575 ,  979 ,  2.065 ,  5.022 ,  336 ,  -   ,  18.556 ,  -   ,  121.219 
  363 ,  3.511 ,  -   ,  27.444 ,  563 ,  5.663 ,  37.422 ,  14.931 ,  256 ,  1.869 ,  1.197 ,  -   ,  1.146 ,  34.780 ,  -   ,  128.781 
  364 ,  506 ,  1.850 ,  10.101 ,  736 ,  1.950 ,  11.607 ,  3.127 ,  -   ,  61 ,  1.299 ,  404 ,  290 ,  10.957 ,  -   ,  42.888 
  365 ,  526 ,  -   ,  11.855 ,  748 ,  138 ,  6.353 ,  1.505 ,  13 ,  315 ,  236 ,  -   ,  63 ,  2.767 ,  -   ,  24.519 
  366 ,  3.972 ,  334 ,  25.680 ,  760 ,  3.685 ,  28.686 ,  6.782 ,  -   ,  371 ,  3.587 ,  821 ,  390 ,  21.174 ,  324 ,  96.567 
  367 ,  1.370 ,  -   ,  9.292 ,  89 ,  2.404 ,  10.208 ,  8.541 ,  113 ,  -   ,  1.175 ,  -   ,  901 ,  15.833 ,  -   ,  49.926 
  368 ,  854 ,  -   ,  19.031 ,  -   ,  1.149 ,  23.731 ,  9.208 ,  -   ,  129 ,  1.069 ,  -   ,  -   ,  37.814 ,  -   ,  92.984 
  369 ,  4.054 ,  -   ,  21.128 ,  717 ,  7.488 ,  30.479 ,  14.257 ,  359 ,  349 ,  1.141 ,  -   ,  -   ,  34.288 ,  477 ,  114.737 
  370 ,  1.115 ,  -   ,  35.356 ,  -   ,  13.975 ,  41.701 ,  13.956 ,  -   ,  -   ,  9.929 ,  3.274 ,  63 ,  39.278 ,  1.957 ,  160.603 
  371 ,  2.740 ,  -   ,  18.223 ,  -   ,  6.129 ,  24.352 ,  18.338 ,  1.115 ,  749 ,  922 ,  -   ,  932 ,  32.522 ,  -   ,  106.022 
  372 ,  4.563 ,  6.196 ,  18.334 ,  1.433 ,  8.262 ,  22.730 ,  9.166 ,  636 ,  246 ,  -   ,  -   ,  -   ,  30.940 ,  -   ,  102.505 
  373 ,  2.680 ,  750 ,  29.246 ,  652 ,  6.932 ,  27.738 ,  23.839 ,  -   ,  -   ,  6.401 ,  -   ,  901 ,  44.593 ,  1.277 ,  145.010 
  374 ,  729 ,  7.637 ,  10.506 ,  511 ,  -   ,  11.436 ,  2.579 ,  -   ,  1.614 ,  1.231 ,  437 ,  -   ,  428 ,  -   ,  37.109 
  375 ,  5.351 ,  -   ,  23.624 ,  429 ,  9.636 ,  21.041 ,  12.976 ,  -   ,  -   ,  2.251 ,  -   ,  7.620 ,  45.283 ,  -   ,  128.211 
  376 ,  1.280 ,  400 ,  12.313 ,  944 ,  7.335 ,  18.149 ,  6.471 ,  151 ,  -   ,  -   ,  -   ,  3.352 ,  41.809 ,  1.719 ,  93.922 
  377 ,  8.870 ,  3.637 ,  49.457 ,  2.958 ,  20.801 ,  56.873 ,  38.132 ,  -   ,  1.656 ,  3.783 ,  404 ,  4.755 ,  171.284 ,  1.663 ,  364.271 
  378 ,  7.720 ,  -   ,  23.786 ,  1.903 ,  13.386 ,  24.213 ,  6.583 ,  -   ,  2.218 ,  1.222 ,  -   ,  1.750 ,  48.880 ,  674 ,  132.335 
  379 ,  1.227 ,  -   ,  15.844 ,  -   ,  5.019 ,  21.283 ,  3.939 ,  -   ,  1.199 ,  803 ,  -   ,  952 ,  40.426 ,  569 ,  91.261 
  380 ,  1.762 ,  -   ,  44.271 ,  266 ,  8.979 ,  8.199 ,  4.889 ,  -   ,  749 ,  1.860 ,  628 ,  2.429 ,  60.903 ,  1.657 ,  136.592 
  381 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  382 ,  842 ,  701 ,  44.884 ,  1.484 ,  11.578 ,  23.465 ,  15.211 ,  -   ,  5.444 ,  2.713 ,  -   ,  4.386 ,  67.778 ,  333 ,  178.819 
  383 ,  -   ,  -   ,  25.855 ,  1.755 ,  11.499 ,  7.910 ,  6.838 ,  -   ,  -   ,  1.031 ,  -   ,  -   ,  55.496 ,  -   ,  110.384 
  384 ,  2.147 ,  -   ,  7.201 ,  1.706 ,  3.833 ,  6.800 ,  2.486 ,  -   ,  246 ,  -   ,  -   ,  -   ,  24.186 ,  933 ,  49.538 
  385 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  512 ,  -   ,  -   ,  -   ,  -   ,  -   ,  332 ,  -   ,  844 
  386 ,  -   ,  -   ,  2.282 ,  -   ,  395 ,  1.912 ,  588 ,  -   ,  -   ,  500 ,  -   ,  242 ,  4.246 ,  -   ,  10.163 
  387 ,  4.024 ,  -   ,  24.335 ,  1.392 ,  10.361 ,  21.666 ,  8.612 ,  -   ,  -   ,  2.246 ,  -   ,  728 ,  55.487 ,  123 ,  128.976 
  388 ,  -   ,  -   ,  1.613 ,  150 ,  1.222 ,  2.453 ,  944 ,  -   ,  -   ,  155 ,  -   ,  176 ,  3.400 ,  123 ,  10.237 
  389 ,  280 ,  -   ,  10.868 ,  2.425 ,  2.331 ,  8.548 ,  6.819 ,  3.873 ,  -   ,  4.337 ,  -   ,  1.420 ,  35.297 ,  665 ,  76.863 
  390 ,  -   ,  -   ,  2.792 ,  859 ,  1.149 ,  2.044 ,  3.394 ,  -   ,  -   ,  1.060 ,  -   ,  2.617 ,  1.841 ,  -   ,  15.756 
  391 ,  11.988 ,  10.912 ,  12.170 ,  492 ,  9.213 ,  17.946 ,  6.569 ,  -   ,  3.559 ,  -   ,  -   ,  -   ,  38.976 ,  754 ,  112.579 
  392 ,  -   ,  978 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  978 
  393 ,  12.150 ,  9.366 ,  12.800 ,  384 ,  4.884 ,  21.906 ,  14.353 ,  -   ,  2.119 ,  2.360 ,  -   ,  382 ,  61.105 ,  -   ,  141.809 
  394 ,  1.334 ,  3.138 ,  2.565 ,  -   ,  2.443 ,  4.677 ,  2.184 ,  -   ,  146 ,  957 ,  -   ,  443 ,  17.003 ,  -   ,  34.891 
  395 ,  4.742 ,  13.502 ,  19.920 ,  -   ,  8.926 ,  20.678 ,  10.208 ,  -   ,  258 ,  2.254 ,  -   ,  5.967 ,  60.590 ,  643 ,  147.690 
  396 ,  7.899 ,  15.528 ,  18.737 ,  301 ,  2.816 ,  32.846 ,  20.886 ,  -   ,  1.148 ,  3.576 ,  304 ,  1.901 ,  85.243 ,  -   ,  191.185 
  397 ,  2.500 ,  5.328 ,  24.421 ,  -   ,  10.341 ,  14.915 ,  6.710 ,  1.536 ,  -   ,  706 ,  304 ,  2.820 ,  48.796 ,  -   ,  118.377 
  398 ,  2.979 ,  1.490 ,  17.014 ,  2.271 ,  5.667 ,  24.371 ,  12.663 ,  -   ,  442 ,  6.851 ,  2.360 ,  1.464 ,  72.552 ,  1.468 ,  151.592 
  399 ,  5.118 ,  5.234 ,  8.688 ,  993 ,  9.672 ,  7.137 ,  3.270 ,  -   ,  -   ,  1.193 ,  -   ,  756 ,  35.730 ,  87 ,  77.878 
  400 ,  5.552 ,  11.479 ,  18.552 ,  5.069 ,  9.676 ,  19.762 ,  7.739 ,  -   ,  1.039 ,  2.955 ,  -   ,  3.772 ,  78.175 ,  1.663 ,  165.432 
  401 ,  4.277 ,  11.760 ,  42.221 ,  5.113 ,  19.276 ,  48.735 ,  26.540 ,  -   ,  1.438 ,  1.352 ,  308 ,  11.295 ,  129.961 ,  1.072 ,  303.347 
  402 ,  264 ,  1.401 ,  5.251 ,  315 ,  2.579 ,  4.165 ,  2.250 ,  -   ,  54 ,  -   ,  -   ,  2.132 ,  11.086 ,  -   ,  29.496 
  403 ,  223 ,  990 ,  3.003 ,  1.723 ,  2.524 ,  2.183 ,  1.631 ,  -   ,  -   ,  -   ,  -   ,  2.116 ,  8.763 ,  -   ,  23.156 
  404 ,  4.423 ,  6.068 ,  30.186 ,  2.260 ,  1.236 ,  66.121 ,  38.714 ,  2.085 ,  487 ,  4.369 ,  -   ,  3.898 ,  85.746 ,  149 ,  245.742 
  405 ,  2.015 ,  5.685 ,  18.581 ,  2.164 ,  1.840 ,  16.997 ,  7.089 ,  -   ,  1.071 ,  3.253 ,  106 ,  2.149 ,  17.557 ,  -   ,  78.506 
  406 ,  1.094 ,  6.873 ,  24.647 ,  3.499 ,  398 ,  22.935 ,  10.230 ,  -   ,  487 ,  1.639 ,  -   ,  1.337 ,  18.637 ,  487 ,  92.262 
  407 ,  1.928 ,  5.230 ,  38.026 ,  2.413 ,  2.877 ,  36.435 ,  20.911 ,  -   ,  -   ,  5.816 ,  487 ,  3.031 ,  76.949 ,  -   ,  194.103 
  408 ,  2.578 ,  5.779 ,  10.661 ,  279 ,  3.262 ,  7.317 ,  4.137 ,  -   ,  -   ,  1.035 ,  243 ,  1.056 ,  29.860 ,  -   ,  66.207 
  409 ,  951 ,  566 ,  3.854 ,  155 ,  1.775 ,  3.820 ,  2.692 ,  -   ,  -   ,  548 ,  69 ,  -   ,  10.320 ,  -   ,  24.751 
  410 ,  84 ,  84 ,  3.506 ,  -   ,  1.652 ,  4.203 ,  1.317 ,  -   ,  -   ,  1.416 ,  454 ,  363 ,  3.442 ,  -   ,  16.522 
  411 ,  104 ,  344 ,  4.829 ,  481 ,  1.219 ,  4.802 ,  4.027 ,  -   ,  1.071 ,  930 ,  -   ,  235 ,  6.565 ,  -   ,  24.606 
  412 ,  407 ,  733 ,  13.136 ,  577 ,  694 ,  12.024 ,  5.827 ,  -   ,  -   ,  2.320 ,  273 ,  104 ,  19.196 ,  -   ,  55.292 
  413 ,  -   ,  1.653 ,  6.030 ,  -   ,  5.298 ,  4.029 ,  3.421 ,  -   ,  -   ,  542 ,  472 ,  577 ,  14.448 ,  -   ,  36.469 
  414 ,  -   ,  320 ,  3.455 ,  408 ,  4.513 ,  10.624 ,  3.171 ,  1.557 ,  -   ,  803 ,  -   ,  2.658 ,  27.476 ,  149 ,  55.134 
  415 ,  -   ,  -   ,  1.996 ,  2.031 ,  1.771 ,  4.146 ,  2.340 ,  -   ,  239 ,  32 ,  -   ,  903 ,  18.474 ,  246 ,  32.178 
  416 ,  210 ,  -   ,  1.305 ,  420 ,  4.267 ,  8.749 ,  4.363 ,  -   ,  -   ,  1.287 ,  233 ,  5.694 ,  19.999 ,  246 ,  46.774 
  417 ,  2.291 ,  2.959 ,  7.383 ,  -   ,  5.259 ,  26.726 ,  13.402 ,  -   ,  964 ,  5.405 ,  1.020 ,  1.047 ,  43.823 ,  488 ,  110.766 
