Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2017,,,,,,,,,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional , Dirigindo moto , Passageiro de moto , Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
,,,,,,,,,,,,,,,
  60 ,  11.205 ,  126 ,  9.678 ,  -   ,  1.456 ,  23.571 ,  9.239 ,  259 ,  455 ,  2.507 ,  -   ,  971 ,  8.850 ,  -   ,  68.318 
  61 ,  17.016 ,  -   ,  12.928 ,  415 ,  1.762 ,  16.106 ,  7.617 ,  415 ,  849 ,  1.146 ,  -   ,  298 ,  17.562 ,  -   ,  76.112 
  62 ,  7.304 ,  394 ,  15.981 ,  -   ,  224 ,  13.269 ,  3.240 ,  398 ,  964 ,  460 ,  -   ,  495 ,  5.876 ,  -   ,  48.606 
  63 ,  11.327 ,  -   ,  9.675 ,  -   ,  880 ,  8.481 ,  3.787 ,  433 ,  155 ,  399 ,  219 ,  151 ,  1.557 ,  -   ,  37.065 
  64 ,  10.449 ,  657 ,  22.976 ,  410 ,  2.387 ,  27.506 ,  9.226 ,  829 ,  3.098 ,  2.214 ,  -   ,  2.963 ,  23.453 ,  -   ,  106.168 
  65 ,  2.410 ,  967 ,  12.334 ,  -   ,  1.450 ,  21.393 ,  8.304 ,  887 ,  2.804 ,  3.308 ,  69 ,  796 ,  13.840 ,  -   ,  68.562 
  66 ,  4.690 ,  834 ,  15.357 ,  -   ,  974 ,  18.104 ,  7.956 ,  141 ,  3.018 ,  2.631 ,  424 ,  363 ,  6.420 ,  -   ,  60.912 
  67 ,  3.486 ,  478 ,  7.922 ,  -   ,  504 ,  7.265 ,  2.222 ,  722 ,  1.152 ,  614 ,  -   ,  159 ,  8.024 ,  86 ,  32.633 
  68 ,  15.378 ,  7.035 ,  32.805 ,  457 ,  2.620 ,  34.869 ,  6.743 ,  1.363 ,  5.068 ,  7.020 ,  -   ,  3.473 ,  54.240 ,  86 ,  171.156 
  69 ,  7.111 ,  1.664 ,  11.692 ,  -   ,  114 ,  15.578 ,  4.152 ,  800 ,  1.425 ,  634 ,  -   ,  1.530 ,  16.025 ,  -   ,  60.725 
  70 ,  2.847 ,  5.551 ,  14.325 ,  -   ,  487 ,  14.511 ,  2.766 ,  321 ,  1.117 ,  641 ,  -   ,  375 ,  12.120 ,  86 ,  55.146 
  71 ,  2.455 ,  4.407 ,  12.298 ,  -   ,  1.189 ,  17.990 ,  6.475 ,  837 ,  2.491 ,  2.600 ,  -   ,  1.812 ,  13.628 ,  199 ,  66.382 
  72 ,  5.879 ,  4.431 ,  11.491 ,  840 ,  1.033 ,  16.390 ,  3.528 ,  375 ,  856 ,  1.695 ,  330 ,  1.167 ,  12.298 ,  726 ,  61.040 
  73 ,  21.651 ,  24.244 ,  23.432 ,  1.528 ,  491 ,  35.015 ,  5.862 ,  1.242 ,  3.153 ,  4.153 ,  62 ,  3.414 ,  56.957 ,  -   ,  181.206 
  74 ,  26.386 ,  308 ,  11.454 ,  87 ,  227 ,  12.100 ,  2.820 ,  461 ,  2.514 ,  923 ,  -   ,  853 ,  18.059 ,  56 ,  76.247 
  75 ,  7.629 ,  295 ,  6.553 ,  112 ,  598 ,  10.273 ,  1.468 ,  485 ,  1.456 ,  265 ,  35 ,  246 ,  13.129 ,  -   ,  42.545 
  76 ,  4.513 ,  121 ,  12.075 ,  -   ,  535 ,  16.468 ,  4.263 ,  902 ,  477 ,  1.332 ,  66 ,  214 ,  9.680 ,  -   ,  50.644 
  77 ,  27.263 ,  2.000 ,  16.720 ,  38 ,  1.350 ,  11.415 ,  3.743 ,  1.740 ,  7.029 ,  3.824 ,  31 ,  613 ,  19.529 ,  -   ,  95.297 
  78 ,  10.945 ,  1.146 ,  8.936 ,  -   ,  690 ,  13.259 ,  2.678 ,  1.986 ,  2.226 ,  1.332 ,  -   ,  1.244 ,  13.885 ,  7 ,  58.334 
  79 ,  43.044 ,  65 ,  20.090 ,  -   ,  897 ,  20.157 ,  6.532 ,  1.659 ,  2.574 ,  2.028 ,  -   ,  594 ,  27.078 ,  973 ,  125.692 
  80 ,  17.275 ,  1.809 ,  13.535 ,  -   ,  174 ,  15.347 ,  4.457 ,  1.019 ,  1.696 ,  1.173 ,  415 ,  1.157 ,  22.689 ,  427 ,  81.175 
  81 ,  13.337 ,  1.516 ,  19.701 ,  417 ,  737 ,  22.351 ,  3.661 ,  1.524 ,  2.824 ,  2.212 ,  35 ,  1.906 ,  17.480 ,  56 ,  87.756 
  82 ,  30.105 ,  11.778 ,  38.398 ,  188 ,  1.306 ,  29.750 ,  8.118 ,  1.384 ,  2.615 ,  5.932 ,  -   ,  3.161 ,  31.552 ,  70 ,  164.357 
  83 ,  19.653 ,  1.186 ,  13.911 ,  -   ,  927 ,  20.664 ,  7.725 ,  849 ,  3.209 ,  501 ,  69 ,  1.817 ,  19.696 ,  -   ,  90.207 
  84 ,  5.392 ,  1.961 ,  8.021 ,  -   ,  669 ,  16.342 ,  4.822 ,  1.023 ,  2.320 ,  639 ,  195 ,  435 ,  12.885 ,  -   ,  54.705 
  85 ,  952 ,  1.456 ,  4.449 ,  -   ,  410 ,  5.106 ,  2.742 ,  102 ,  753 ,  179 ,  -   ,  69 ,  4.134 ,  -   ,  20.350 
  86 ,  1.670 ,  -   ,  2.861 ,  -   ,  94 ,  2.142 ,  786 ,  50 ,  562 ,  154 ,  92 ,  172 ,  1.662 ,  -   ,  10.246 
  87 ,  9.635 ,  41 ,  5.966 ,  -   ,  953 ,  11.767 ,  5.105 ,  798 ,  1.377 ,  896 ,  -   ,  744 ,  7.320 ,  -   ,  44.601 
  88 ,  6.116 ,  1.711 ,  15.715 ,  -   ,  1.378 ,  28.539 ,  9.674 ,  2.270 ,  3.854 ,  2.760 ,  415 ,  338 ,  31.841 ,  -   ,  104.612 
  89 ,  2.797 ,  794 ,  3.996 ,  -   ,  563 ,  5.513 ,  1.519 ,  489 ,  795 ,  575 ,  -   ,  616 ,  3.079 ,  109 ,  20.846 
  90 ,  4.038 ,  1.747 ,  5.333 ,  -   ,  313 ,  12.120 ,  4.632 ,  2.291 ,  2.395 ,  2.088 ,  -   ,  1.292 ,  8.688 ,  123 ,  45.059 
  91 ,  11.389 ,  9.925 ,  21.903 ,  660 ,  187 ,  6.639 ,  1.681 ,  93 ,  747 ,  3.082 ,  1.007 ,  77 ,  4.925 ,  -   ,  62.315 
  92 ,  6.906 ,  3.891 ,  3.660 ,  -   ,  189 ,  5.860 ,  1.644 ,  10 ,  65 ,  313 ,  -   ,  6 ,  8.264 ,  4 ,  30.813 
  93 ,  33.422 ,  26.252 ,  26.044 ,  -   ,  1.364 ,  12.312 ,  2.622 ,  541 ,  1.381 ,  1.248 ,  -   ,  165 ,  13.089 ,  246 ,  118.685 
  94 ,  8.785 ,  2.884 ,  11.997 ,  -   ,  805 ,  9.234 ,  3.902 ,  638 ,  1.678 ,  994 ,  -   ,  -   ,  12.756 ,  -   ,  53.673 
  95 ,  4.571 ,  125 ,  6.176 ,  -   ,  1.462 ,  13.153 ,  5.303 ,  239 ,  397 ,  1.260 ,  -   ,  295 ,  9.428 ,  -   ,  42.411 
  96 ,  1.878 ,  3.624 ,  5.965 ,  -   ,  862 ,  11.394 ,  4.493 ,  189 ,  743 ,  220 ,  45 ,  505 ,  3.842 ,  -   ,  33.761 
  97 ,  5.194 ,  2.284 ,  6.344 ,  -   ,  446 ,  13.714 ,  3.690 ,  731 ,  3.540 ,  339 ,  -   ,  604 ,  6.494 ,  -   ,  43.380 
  98 ,  1.421 ,  1.912 ,  5.267 ,  -   ,  179 ,  2.927 ,  1.410 ,  76 ,  159 ,  108 ,  116 ,  843 ,  1.453 ,  -   ,  15.872 
  99 ,  3.954 ,  7.944 ,  9.926 ,  -   ,  939 ,  11.825 ,  2.301 ,  214 ,  558 ,  865 ,  -   ,  964 ,  3.991 ,  -   ,  43.479 
  100 ,  6.703 ,  19.748 ,  54.668 ,  112 ,  2.085 ,  28.561 ,  11.722 ,  594 ,  1.753 ,  2.113 ,  63 ,  1.073 ,  20.466 ,  -   ,  149.661 
  101 ,  3.207 ,  1.797 ,  10.057 ,  -   ,  1.395 ,  14.251 ,  4.769 ,  616 ,  1.599 ,  1.525 ,  -   ,  453 ,  7.246 ,  -   ,  46.915 
  102 ,  1.552 ,  523 ,  7.751 ,  -   ,  2.296 ,  10.695 ,  3.787 ,  172 ,  732 ,  273 ,  -   ,  257 ,  4.088 ,  48 ,  32.175 
  103 ,  658 ,  2.056 ,  2.420 ,  -   ,  610 ,  2.371 ,  1.695 ,  94 ,  318 ,  549 ,  10 ,  -   ,  812 ,  -   ,  11.593 
  104 ,  970 ,  321 ,  4.063 ,  491 ,  286 ,  5.951 ,  2.080 ,  89 ,  346 ,  304 ,  379 ,  472 ,  2.095 ,  -   ,  17.846 
  105 ,  1.722 ,  2.319 ,  14.364 ,  -   ,  2.425 ,  14.724 ,  4.496 ,  -   ,  817 ,  476 ,  -   ,  -   ,  7.256 ,  -   ,  48.599 
