Tabela 20,,,,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2017,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,
,,,,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,,,,
 Origem , Coletivo , Individual , A pé , Bicicleta ,,,
209,  53 ,  23 ,  13 ,  -   ,,,
210,  65 ,  23 ,  13 ,  20 ,,,
211,  46 ,  20 ,  11 ,  23 ,,,
212,  57 ,  20 ,  11 ,  -   ,,,
213,  55 ,  23 ,  11 ,  -   ,,,
214,  49 ,  25 ,  12 ,  20 ,,,
215,  49 ,  19 ,  13 ,  -   ,,,
216,  47 ,  24 ,  13 ,  -   ,,,
217,  51 ,  22 ,  13 ,  -   ,,,
218,  53 ,  22 ,  12 ,  -   ,,,
219,  62 ,  14 ,  8 ,  10 ,,,
220,  55 ,  19 ,  17 ,  60 ,,,
221,  57 ,  19 ,  11 ,  35 ,,,
222,  58 ,  21 ,  12 ,  -   ,,,
223,  64 ,  17 ,  15 ,  -   ,,,
224,  82 ,  19 ,  9 ,  -   ,,,
225,  68 ,  30 ,  9 ,  -   ,,,
226,  60 ,  15 ,  13 ,  -   ,,,
227,  59 ,  18 ,  15 ,  -   ,,,
228,  69 ,  20 ,  11 ,  10 ,,,
229,  63 ,  19 ,  12 ,  10 ,,,
230,  80 ,  23 ,  11 ,  -   ,,,
231,  56 ,  24 ,  12 ,  -   ,,,
232,  57 ,  28 ,  11 ,  70 ,,,
233,  70 ,  30 ,  12 ,  7 ,,,
234,  64 ,  32 ,  12 ,  40 ,,,
235,  55 ,  23 ,  12 ,  5 ,,,
236,  69 ,  22 ,  11 ,  30 ,,,
237,  49 ,  27 ,  16 ,  15 ,,,
238,  62 ,  19 ,  18 ,  20 ,,,
239,  62 ,  25 ,  10 ,  11 ,,,
240,  67 ,  23 ,  10 ,  18 ,,,
241,  76 ,  28 ,  11 ,  15 ,,,
242,  71 ,  29 ,  16 ,  19 ,,,
243,  45 ,  25 ,  11 ,  15 ,,,
244,  55 ,  18 ,  16 ,  10 ,,,
245,  56 ,  35 ,  15 ,  -   ,,,
246,  43 ,  25 ,  14 ,  -   ,,,
247,  55 ,  26 ,  11 ,  -   ,,,
248,  106 ,  56 ,  20 ,  15 ,,,
249,  48 ,  19 ,  15 ,  15 ,,,
250,  58 ,  27 ,  14 ,  20 ,,,
251,  60 ,  26 ,  11 ,  -   ,,,
252,  48 ,  27 ,  12 ,  -   ,,,
253,  70 ,  28 ,  14 ,  20 ,,,
254,  63 ,  22 ,  11 ,  15 ,,,
255,  64 ,  17 ,  12 ,  18 ,,,
256,  62 ,  21 ,  18 ,  -   ,,,
257,  55 ,  27 ,  13 ,  -   ,,,
258,  53 ,  23 ,  14 ,  30 ,,,
259,  47 ,  20 ,  12 ,  20 ,,,
260,  68 ,  31 ,  16 ,  15 ,,,
261,  49 ,  21 ,  12 ,  5 ,,,
262,  59 ,  21 ,  16 ,  45 ,,,
263,  54 ,  29 ,  16 ,  -   ,,,
264,  60 ,  32 ,  13 ,  32 ,,,
265,  56 ,  21 ,  11 ,  -   ,,,
266,  58 ,  39 ,  15 ,  -   ,,,
267,  57 ,  28 ,  16 ,  20 ,,,
268,  52 ,  29 ,  12 ,  20 ,,,
269,  75 ,  24 ,  10 ,  12 ,,,
270,  61 ,  31 ,  11 ,  -   ,,,
271,  99 ,  55 ,  19 ,  -   ,,,
272,  57 ,  30 ,  14 ,  12 ,,,
273,  49 ,  20 ,  13 ,  -   ,,,
274,  59 ,  20 ,  13 ,  25 ,,,
275,  50 ,  24 ,  12 ,  -   ,,,
276,  45 ,  20 ,  12 ,  -   ,,,
277,  47 ,  21 ,  11 ,  15 ,,,
278,  55 ,  24 ,  12 ,  10 ,,,
279,  48 ,  38 ,  11 ,  -   ,,,
280,  64 ,  32 ,  17 ,  53 ,,,
281,  57 ,  23 ,  11 ,  -   ,,,
282,  66 ,  28 ,  9 ,  -   ,,,
283,  69 ,  29 ,  11 ,  10 ,,,
284,  41 ,  33 ,  9 ,  -   ,,,
285,  57 ,  23 ,  13 ,  -   ,,,
286,  63 ,  27 ,  19 ,  10 ,,,
287,  57 ,  23 ,  16 ,  19 ,,,
288,  48 ,  32 ,  15 ,  20 ,,,
289,  52 ,  36 ,  12 ,  25 ,,,
290,  60 ,  28 ,  14 ,  -   ,,,
291,  54 ,  26 ,  15 ,  -   ,,,
292,  64 ,  23 ,  10 ,  -   ,,,
293,  61 ,  30 ,  16 ,  30 ,,,
294,  64 ,  47 ,  18 ,  -   ,,,
295,  65 ,  29 ,  14 ,  5 ,,,
296,  60 ,  34 ,  12 ,  20 ,,,
297,  77 ,  29 ,  12 ,  20 ,,,
298,  70 ,  32 ,  14 ,  25 ,,,
299,  91 ,  38 ,  7 ,  -   ,,,
300,  71 ,  31 ,  12 ,  25 ,,,
301,  70 ,  28 ,  11 ,  30 ,,,
302,  67 ,  34 ,  11 ,  50 ,,,
303,  62 ,  34 ,  12 ,  31 ,,,
304,  55 ,  28 ,  12 ,  50 ,,,
305,  65 ,  32 ,  11 ,  -   ,,,
306,  56 ,  44 ,  9 ,  -   ,,,
307,  76 ,  30 ,  9 ,  -   ,,,
308,  57 ,  27 ,  10 ,  -   ,,,
309,  68 ,  30 ,  15 ,  15 ,,,
310,  52 ,  24 ,  14 ,  -   ,,,
311,  59 ,  25 ,  12 ,  -   ,,,
312,  46 ,  21 ,  12 ,  -   ,,,
313,  64 ,  25 ,  12 ,  -   ,,,
314,  51 ,  24 ,  13 ,  -   ,,,
315,  59 ,  26 ,  12 ,  27 ,,,
316,  72 ,  28 ,  16 ,  29 ,,,
317,  106 ,  35 ,  7 ,  30 ,,,
318,  68 ,  29 ,  9 ,  -   ,,,
319,  83 ,  38 ,  13 ,  18 ,,,
320,  63 ,  32 ,  18 ,  20 ,,,
321,  57 ,  26 ,  13 ,  30 ,,,
322,  53 ,  22 ,  17 ,  44 ,,,
323,  54 ,  22 ,  11 ,  -   ,,,
324,  50 ,  30 ,  17 ,  -   ,,,
325,  52 ,  18 ,  9 ,  40 ,,,
326,  64 ,  21 ,  12 ,  40 ,,,
327,  50 ,  27 ,  16 ,  -   ,,,
328,  68 ,  22 ,  12 ,  -   ,,,
329,  58 ,  25 ,  14 ,  21 ,,,
330,  58 ,  23 ,  14 ,  -   ,,,
331,  48 ,  20 ,  12 ,  15 ,,,
332,  64 ,  28 ,  11 ,  15 ,,,
333,  67 ,  30 ,  9 ,  -   ,,,
334,  46 ,  24 ,  16 ,  50 ,,,
