Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2017,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2017,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
 Zona de Destino , Viagens Atraídas por Tipo ,,,, Total 
, Coletivo , Individual , Modo Motorizado , Modo Não Motorizado ,
,,,,,
,,,,,
208,  37.498 ,  36.595 ,  74.093 ,  26.398 ,  100.492 
209,  26.890 ,  32.484 ,  59.374 ,  21.369 ,  80.743 
210,  32.378 ,  41.947 ,  74.325 ,  20.306 ,  94.631 
211,  44.421 ,  43.659 ,  88.081 ,  23.286 ,  111.367 
212,  14.330 ,  15.730 ,  30.060 ,  24.373 ,  54.433 
213,  36.701 ,  25.032 ,  61.733 ,  24.270 ,  86.003 
214,  24.716 ,  11.206 ,  35.922 ,  16.526 ,  52.448 
215,  21.489 ,  32.428 ,  53.918 ,  20.468 ,  74.385 
216,  24.252 ,  23.958 ,  48.210 ,  21.932 ,  70.143 
217,  19.920 ,  17.633 ,  37.552 ,  26.898 ,  64.451 
218,  51.267 ,  32.623 ,  83.890 ,  51.499 ,  135.389 
219,  29.158 ,  32.079 ,  61.236 ,  31.441 ,  92.677 
220,  21.104 ,  17.689 ,  38.793 ,  24.361 ,  63.154 
221,  33.117 ,  35.026 ,  68.143 ,  22.042 ,  90.184 
222,  25.184 ,  33.585 ,  58.769 ,  20.037 ,  78.807 
223,  16.541 ,  15.424 ,  31.966 ,  9.097 ,  41.062 
224,  5.830 ,  3.449 ,  9.279 ,  3.404 ,  12.683 
225,  20.865 ,  10.980 ,  31.845 ,  20.370 ,  52.215 
226,  57.474 ,  47.799 ,  105.273 ,  70.125 ,  175.398 
227,  46.816 ,  25.978 ,  72.795 ,  18.353 ,  91.148 
228,  23.227 ,  14.290 ,  37.517 ,  23.001 ,  60.518 
229,  109.835 ,  40.887 ,  150.722 ,  95.547 ,  246.269 
230,  52.444 ,  19.235 ,  71.678 ,  47.472 ,  119.151 
231,  26.267 ,  6.707 ,  32.974 ,  16.500 ,  49.474 
232,  32.426 ,  13.064 ,  45.490 ,  29.512 ,  75.002 
233,  36.077 ,  13.239 ,  49.316 ,  45.228 ,  94.544 
234,  31.666 ,  19.900 ,  51.566 ,  53.797 ,  105.363 
235,  39.505 ,  23.538 ,  63.043 ,  38.057 ,  101.100 
236,  15.970 ,  13.081 ,  29.051 ,  13.417 ,  42.469 
237,  15.798 ,  19.454 ,  35.252 ,  12.052 ,  47.304 
238,  19.282 ,  16.723 ,  36.005 ,  7.744 ,  43.749 
239,  33.808 ,  33.287 ,  67.095 ,  14.112 ,  81.207 
240,  19.822 ,  20.608 ,  40.429 ,  15.762 ,  56.191 
241,  12.484 ,  9.464 ,  21.948 ,  7.619 ,  29.568 
242,  23.250 ,  9.574 ,  32.824 ,  19.239 ,  52.063 
243,  24.604 ,  25.764 ,  50.368 ,  43.281 ,  93.649 
244,  34.827 ,  25.912 ,  60.740 ,  49.574 ,  110.313 
245,  11.750 ,  7.667 ,  19.417 ,  13.710 ,  33.128 
246,  23.438 ,  13.729 ,  37.167 ,  9.759 ,  46.925 
247,  69.483 ,  52.545 ,  122.028 ,  78.276 ,  200.304 
248,  1.441 ,  4.182 ,  5.623 ,  359 ,  5.983 
249,  19.432 ,  24.540 ,  43.972 ,  20.793 ,  64.766 
250,  16.874 ,  18.118 ,  34.992 ,  11.389 ,  46.381 
251,  15.417 ,  17.271 ,  32.688 ,  6.745 ,  39.433 
252,  15.541 ,  11.307 ,  26.847 ,  17.744 ,  44.591 
253,  6.900 ,  3.162 ,  10.061 ,  3.078 ,  13.139 
254,  48.664 ,  38.157 ,  86.821 ,  18.923 ,  105.744 
255,  25.845 ,  61.888 ,  87.734 ,  41.474 ,  129.208 
256,  19.195 ,  15.421 ,  34.616 ,  7.916 ,  42.531 
257,  19.379 ,  22.666 ,  42.046 ,  18.050 ,  60.096 
258,  42.855 ,  26.696 ,  69.551 ,  24.452 ,  94.003 
259,  16.441 ,  12.177 ,  28.618 ,  19.962 ,  48.580 
260,  21.386 ,  9.546 ,  30.933 ,  25.712 ,  56.645 
261,  35.034 ,  26.776 ,  61.810 ,  22.638 ,  84.449 
262,  34.680 ,  37.094 ,  71.774 ,  42.579 ,  114.352 
263,  42.342 ,  24.371 ,  66.713 ,  48.969 ,  115.682 
264,  46.357 ,  27.453 ,  73.810 ,  35.564 ,  109.373 
265,  30.779 ,  29.719 ,  60.498 ,  39.691 ,  100.188 
266,  6.237 ,  7.820 ,  14.057 ,  7.929 ,  21.986 
267,  20.319 ,  16.352 ,  36.670 ,  18.174 ,  54.844 
268,  12.899 ,  18.129 ,  31.028 ,  8.757 ,  39.785 
269,  22.970 ,  26.481 ,  49.451 ,  16.886 ,  66.337 
270,  8.211 ,  13.943 ,  22.155 ,  5.318 ,  27.473 
271,  7.571 ,  13.686 ,  21.258 ,  1.145 ,  22.402 
